0.45mm_10steps_500ms_1.csv,0.45mm_10steps_500ms_2.csv,0.45mm_40steps_300ms_1.csv,0.45mm_40steps_300ms_2.csv,0.45mm_480steps_300ms.csv,0.45mm_80steps_300ms.csv,single_step_40_300ms_1.csv,single_step_40_300ms_2.csv,triple_step_40_300ms_1.csv,triple_step_40_300ms_2.csv,triple_step_40_300ms_3.csv
11.413,10.867,391.785,65.767,101.87,457.224,23.674,23.71,10.774,10.752,10.752
11.413,10.866,391.785,66.107,101.869,457.224,23.674,23.71,10.774,10.752,10.752
11.413,10.866,391.785,66.43,101.868,457.223,23.674,23.71,10.774,10.752,10.752
11.413,10.866,391.785,66.748,101.868,457.222,23.674,23.71,10.774,10.753,10.753
11.413,10.866,391.784,67.088,101.867,457.222,23.675,23.71,10.774,10.752,10.752
11.413,10.866,391.784,67.433,101.867,457.222,23.675,23.71,10.774,10.753,10.753
11.413,10.866,391.784,67.752,101.867,457.221,23.675,23.71,10.774,10.752,10.752
11.413,10.866,391.784,68.066,101.866,457.221,23.675,23.709,10.774,10.752,10.752
11.413,10.866,391.784,68.397,101.866,457.22,23.675,23.71,10.774,10.752,10.752
11.413,10.866,391.784,68.727,101.865,457.219,23.675,23.71,10.774,10.752,10.752
11.413,10.866,391.783,69.038,101.865,457.218,23.674,23.71,10.774,10.752,10.752
11.413,10.866,391.782,69.337,101.864,457.218,23.674,23.71,10.774,10.752,10.752
11.413,10.866,391.782,69.602,101.863,457.217,23.674,23.71,10.774,10.752,10.752
11.413,10.866,391.782,69.83,101.862,457.217,23.674,23.71,10.774,10.752,10.752
11.413,10.866,391.781,70.053,101.862,457.216,23.674,23.71,10.774,10.752,10.752
11.413,10.866,391.781,70.242,101.861,457.216,23.674,23.71,10.774,10.752,10.752
11.413,10.866,391.78,70.359,101.86,457.216,23.674,23.71,10.774,10.752,10.752
11.413,10.866,391.779,70.421,101.86,457.216,23.674,23.71,10.774,10.752,10.752
11.413,10.866,391.779,70.468,101.859,457.215,23.674,23.71,10.774,10.752,10.752
11.413,10.866,391.779,70.499,101.859,457.215,23.674,23.71,10.774,10.752,10.752
11.413,10.866,391.779,70.509,101.858,457.214,23.674,23.71,10.774,10.753,10.753
11.413,10.866,391.779,70.496,101.858,457.214,23.674,23.71,10.774,10.753,10.753
11.413,10.866,391.778,70.464,101.857,457.213,23.674,23.71,10.774,10.753,10.753
11.413,10.866,391.778,70.448,101.857,457.213,23.674,23.71,10.774,10.753,10.753
11.413,10.866,391.778,70.454,101.856,457.213,23.674,23.71,10.774,10.753,10.753
11.413,10.866,391.778,70.465,101.856,457.212,23.674,23.71,10.774,10.753,10.753
11.413,10.866,391.777,70.461,101.855,457.212,23.674,23.71,10.774,10.753,10.753
11.412,10.865,391.776,70.453,101.854,457.212,23.674,23.71,10.774,10.753,10.753
11.413,10.865,391.776,70.463,101.854,457.212,23.674,23.71,10.774,10.753,10.753
11.413,10.866,391.776,70.486,101.853,457.211,23.674,23.71,10.774,10.753,10.753
11.413,10.866,391.776,70.487,101.853,457.211,23.674,23.71,10.774,10.752,10.752
11.413,10.866,391.775,70.472,101.852,457.21,23.674,23.71,10.774,10.752,10.752
11.413,10.866,391.775,70.473,101.852,457.21,23.674,23.71,10.774,10.752,10.752
11.413,10.866,391.775,70.48,101.851,457.209,23.674,23.71,10.774,10.753,10.753
11.413,10.866,391.775,70.476,101.85,457.209,23.674,23.71,10.774,10.752,10.752
11.412,10.866,391.776,70.46,101.85,457.224,23.674,23.71,10.774,10.752,10.752
11.412,10.866,391.776,70.455,101.85,457.285,23.674,23.71,10.774,10.752,10.752
11.412,10.865,391.775,70.46,101.849,457.369,23.674,23.71,10.774,10.753,10.753
11.412,10.866,391.774,70.462,101.849,457.488,23.674,23.71,10.774,10.753,10.753
11.412,10.866,391.775,70.459,101.848,457.661,23.674,23.71,10.774,10.753,10.753
11.413,10.865,391.774,70.455,101.847,457.864,23.674,23.71,10.774,10.753,10.753
11.413,10.866,391.774,70.462,101.847,458.098,23.674,23.71,10.774,10.753,10.753
11.412,10.866,391.774,70.47,101.847,458.385,23.674,23.71,10.774,10.753,10.753
11.413,10.866,391.774,70.468,101.846,458.697,23.674,23.71,10.774,10.752,10.752
11.413,10.866,391.774,70.463,101.846,458.994,23.674,23.71,10.774,10.752,10.752
11.413,10.866,391.774,70.464,101.845,459.314,23.674,23.71,10.774,10.752,10.752
11.412,10.866,391.774,70.468,101.845,459.645,23.675,23.71,10.774,10.752,10.752
11.412,10.866,391.774,70.463,101.844,459.961,23.675,23.71,10.774,10.752,10.752
11.412,10.866,391.773,70.457,101.844,460.283,23.674,23.71,10.774,10.752,10.752
11.412,10.866,391.773,70.457,101.843,460.625,23.675,23.71,10.774,10.752,10.752
11.412,10.866,391.772,70.458,101.843,460.937,23.675,23.71,10.774,10.752,10.752
11.412,10.867,391.771,70.457,101.842,461.203,23.675,23.71,10.774,10.752,10.752
11.412,10.866,391.771,70.456,101.841,461.455,23.675,23.71,10.775,10.752,10.752
11.412,10.866,391.77,70.456,101.841,461.664,23.675,23.71,10.774,10.752,10.752
11.412,10.866,391.77,70.458,101.84,461.82,23.675,23.71,10.774,10.752,10.752
11.412,10.867,391.77,70.46,101.84,461.941,23.675,23.71,10.775,10.752,10.752
11.412,10.866,391.77,70.461,101.839,462.031,23.675,23.71,10.775,10.752,10.752
11.412,10.866,391.77,70.458,101.839,462.067,23.675,23.71,10.774,10.752,10.752
11.412,10.866,391.77,70.458,101.838,462.076,23.675,23.71,10.775,10.753,10.753
11.412,10.866,391.77,70.461,101.838,462.096,23.675,23.71,10.775,10.753,10.753
11.412,10.865,391.77,70.459,101.837,462.1,23.675,23.71,10.774,10.753,10.753
11.412,10.865,391.77,70.455,101.837,462.112,23.674,23.71,10.774,10.753,10.753
11.412,10.865,391.77,70.455,101.836,462.128,23.674,23.71,10.774,10.753,10.753
11.412,10.865,391.77,70.457,101.836,462.133,23.674,23.71,10.774,10.752,10.752
11.412,10.865,391.77,70.456,101.835,462.136,23.675,23.71,10.774,10.752,10.752
11.412,10.865,391.77,70.453,101.835,462.136,23.674,23.71,10.774,10.753,10.753
11.412,10.866,391.77,70.455,101.834,462.14,23.674,23.71,10.774,10.752,10.752
11.412,10.866,391.77,70.456,101.834,462.137,23.674,23.71,10.774,10.752,10.752
11.412,10.866,391.77,70.456,101.833,462.134,23.674,23.71,10.774,10.753,10.753
11.412,10.866,391.77,70.456,101.833,462.12,23.675,23.71,10.774,10.753,10.753
11.412,10.866,391.77,70.455,101.832,462.112,23.674,23.71,10.774,10.752,10.752
11.412,10.866,391.769,70.455,101.832,462.107,23.674,23.71,10.774,10.753,10.753
11.412,10.866,391.768,70.455,101.831,462.099,23.675,23.71,10.774,10.753,10.753
11.412,10.866,391.767,70.455,101.83,462.1,23.675,23.71,10.774,10.753,10.753
11.412,10.865,391.767,70.454,101.83,462.149,23.675,23.71,10.774,10.753,10.753
11.412,10.865,391.767,70.452,101.83,462.31,23.675,23.71,10.775,10.753,10.753
11.412,10.866,391.766,70.454,101.829,462.495,23.674,23.71,10.774,10.753,10.753
11.412,10.866,391.766,70.453,101.829,462.602,23.674,23.71,10.775,10.753,10.753
11.412,10.866,391.766,70.453,101.828,462.619,23.674,23.71,10.775,10.753,10.753
11.412,10.866,391.765,70.452,101.828,462.619,23.674,23.71,10.775,10.753,10.753
11.412,10.865,391.765,70.453,101.828,462.619,23.674,23.71,10.775,10.753,10.753
11.412,10.865,391.765,70.453,101.827,462.618,23.674,23.71,10.775,10.753,10.753
11.412,10.865,391.765,70.452,101.827,462.569,23.674,23.71,10.775,10.753,10.753
11.412,10.865,391.764,70.453,101.826,462.408,23.674,23.71,10.775,10.753,10.753
11.412,10.865,391.764,70.453,101.826,462.234,23.674,23.71,10.775,10.753,10.753
11.412,10.865,391.766,70.452,101.825,462.186,23.674,23.71,10.775,10.753,10.753
11.412,10.865,391.794,70.452,101.825,462.172,23.675,23.71,10.775,10.753,10.753
11.412,10.865,391.874,70.451,101.824,462.171,23.675,23.71,10.775,10.753,10.753
11.412,10.865,391.983,70.451,101.824,462.171,23.675,23.71,10.775,10.753,10.753
11.412,10.865,392.179,70.451,101.823,462.17,23.675,23.71,10.775,10.753,10.753
11.412,10.865,392.416,70.451,101.823,462.169,23.675,23.71,10.774,10.753,10.753
11.412,10.865,392.699,70.452,101.823,462.166,23.675,23.71,10.774,10.752,10.752
11.412,10.865,393.113,70.451,101.822,462.154,23.675,23.71,10.774,10.752,10.752
11.412,10.865,393.468,70.451,101.821,462.093,23.675,23.71,10.774,10.752,10.752
11.412,10.865,393.829,70.451,101.821,462.086,23.674,23.71,10.774,10.752,10.752
11.412,10.865,394.254,70.451,101.82,462.085,23.674,23.71,10.774,10.752,10.752
11.412,10.865,394.644,70.45,101.82,462.083,23.674,23.71,10.774,10.752,10.752
11.412,10.865,395.109,70.45,101.819,462.082,23.674,23.71,10.774,10.752,10.752
11.412,10.865,395.453,70.45,101.819,462.08,23.674,23.71,10.774,10.752,10.752
11.412,10.865,395.796,70.449,101.819,462.079,23.674,23.71,10.774,10.752,10.752
11.412,10.865,396.051,70.45,101.818,462.078,23.674,23.71,10.774,10.752,10.752
11.412,10.866,396.406,70.45,101.818,462.076,23.675,23.71,10.774,10.752,10.752
11.412,10.865,396.783,70.449,101.817,462.076,23.675,23.71,10.774,10.753,10.753
11.412,10.866,397.088,70.45,101.817,462.075,23.675,23.71,10.774,10.753,10.753
11.412,10.866,397.445,70.45,101.816,462.074,23.675,23.71,10.774,10.752,10.752
11.411,10.866,397.693,70.449,101.816,462.073,23.675,23.71,10.774,10.752,10.752
11.411,10.866,398.067,70.448,101.815,462.073,23.675,23.71,10.774,10.753,10.753
11.411,10.866,398.432,70.448,101.815,462.073,23.675,23.71,10.775,10.753,10.753
11.412,10.866,398.804,70.448,101.813,462.072,23.675,23.71,10.775,10.753,10.753
11.412,10.865,399.18,70.448,101.786,462.072,23.675,23.71,10.775,10.752,10.752
